fighter,stance,knockdowns,sig_strikes_landed,sig_strikes_attempts,head_strikes_landed,head_strikes_attempts,body_strikes_landed,body_strikes_attempts,leg_strikes_landed,leg_strikes_attempts,distance_strikes_landed,distance_strikes_attempts
aalon cruz,Switch,0,2,15,2,6,0,5,0,4,2,15
aaron phillips,Southpaw,0,23,54,8,31,14,19,1,4,21,51
abdul razak alhassan,Orthodox,8,264,541,207,459,30,39,27,43,196,439
abdul-kerim edilov,Orthodox,0,77,125,59,105,16,17,2,3,9,22
abel trujillo,Orthodox,0,79,215,63,192,12,19,4,4,67,193
abu azaitar,Orthodox,0,156,347,78,247,59,80,19,20,112,290
abubakar nurmagomedov,Orthodox,0,104,196,77,168,14,15,13,13,96,185
abus magomedov,Orthodox,1,7,7,6,6,1,1,0,0,3,3
adam fugitt,Southpaw,0,85,146,48,97,24,33,13,16,69,121
adam milstead,Orthodox,0,127,271,105,245,13,17,9,9,101,234
adam wieczorek,Orthodox,0,62,160,28,116,21,28,13,16,43,136
adam yandiev,Orthodox,0,1,12,0,9,0,2,1,1,1,10
adrian yanez,Orthodox,5,282,697,204,582,37,71,41,44,269,673
adriano martins,Southpaw,0,50,114,16,69,6,10,28,35,50,114
aiemann zahabi,Orthodox,2,181,415,117,329,30,46,34,40,166,394
ailin perez,Switch,0,16,34,7,20,9,12,0,2,8,25
aj dobson,Orthodox,0,110,251,79,215,15,20,16,16,94,227
aj fletcher,Switch,0,128,262,101,225,11,18,16,19,111,234
al iaquinta,Orthodox,2,301,757,193,600,64,105,44,52,296,751
alan baudot,Orthodox,1,167,285,123,236,29,33,15,16,112,224
alan jouban,Southpaw,7,479,956,279,691,100,151,100,114,393,826
alan patrick,Southpaw,0,136,306,86,232,35,57,15,17,85,233
alatengheili,Orthodox,1,223,657,150,556,39,54,34,47,212,641
albert duraev,Orthodox,0,126,313,78,246,11,20,37,47,84,242
albert morales,Orthodox,0,278,805,163,645,28,42,87,118,248,750
albert tumenov,Orthodox,0,131,318,89,269,34,41,8,8,123,301
alberto mina,Orthodox,1,28,125,17,101,4,14,7,10,18,103
alberto uda,Orthodox,0,19,36,15,27,4,6,0,3,4,17
alejandro perez,Orthodox,1,402,1122,258,929,51,67,93,126,314,988
aleksa camur,Orthodox,0,199,343,116,232,61,78,22,33,159,294
aleksandar rakic,Orthodox,4,365,724,210,516,63,82,92,126,209,524
aleksandra albu,Orthodox,0,149,343,104,283,41,54,4,6,83,257
aleksei kunchenko,Orthodox,0,220,496,125,362,34,58,61,76,172,432
aleksei oleinik,Orthodox,1,357,734,222,578,86,97,49,59,254,592
alen amedovski,Orthodox,0,20,66,13,54,2,5,5,7,17,61
alessandro costa,Orthodox,0,17,71,6,55,6,10,5,6,16,70
alessio di chirico,Orthodox,3,375,944,254,765,67,114,54,65,314,842
alex caceres,Southpaw,4,837,1635,547,1255,192,259,98,121,723,1472
alex chambers,Southpaw,0,49,79,32,56,10,11,7,12,32,58
alex da silva,Orthodox,1,114,246,72,198,25,29,17,19,87,211
alex garcia,Orthodox,1,113,385,88,347,17,29,8,9,81,331
alex gorgees,Switch,0,10,31,5,21,3,5,2,5,5,26
alex morono,Orthodox,5,1035,2428,829,2140,134,199,72,89,897,2200
alex nicholson,Orthodox,1,117,268,67,201,23,36,27,31,109,254
alex oliveira,Orthodox,5,544,999,294,686,148,201,102,112,316,687
alex pereira,Orthodox,2,284,479,119,262,100,124,65,93,239,422
alex perez,Orthodox,3,258,524,161,390,32,53,65,81,173,408
alex reyes,Orthodox,0,6,13,1,7,4,5,1,1,3,10
alex ricci,Orthodox,0,49,119,19,66,19,38,11,15,34,96
alex white,Southpaw,3,311,673,200,520,89,124,22,29,197,512
alexa grasso,Orthodox,0,762,1760,472,1359,154,217,136,184,629,1579
alexander gustafsson,Orthodox,2,257,589,171,452,29,61,57,76,190,501
alexander hernandez,Orthodox,3,447,1097,240,774,146,239,61,84,360,974
alexander munoz,Switch,0,117,313,72,246,23,43,22,24,110,303
alexander volkanovski,Orthodox,6,1442,2549,903,1843,161,233,378,473,1085,2029
alexander volkov,Orthodox,3,923,1625,574,1199,189,238,160,188,776,1421
alexander yakovlev,Southpaw,1,76,143,32,87,25,34,19,22,46,106
alexandr romanov,Southpaw,0,197,388,153,332,26,36,18,20,44,113
alexandre pantoja,Orthodox,3,512,1059,320,787,111,167,81,105,415,931
alexis davis,Orthodox,0,571,1129,279,774,107,151,185,204,434,943
ali alqaisi,Orthodox,0,73,172,40,128,10,15,23,29,63,157
ali bagautinov,Orthodox,0,126,208,58,125,46,57,22,26,56,122
aliaskhab khizriev,Southpaw,0,42,67,31,53,8,10,3,4,33,56
alistair overeem,Orthodox,5,411,554,246,373,116,128,49,53,172,280
aljamain sterling,Orthodox,0,871,1715,444,1109,286,416,141,190,621,1391
allan nascimento,Orthodox,0,50,100,22,61,12,22,16,17,30,63
