,fighter_x,total_sub_absorbed,total_takedowns_absorbed,total_sig_strikes_absorbed,total_total_strikes_absorbed,total_head_strikes_absorbed,total_body_strikes_absorbed,total_leg_strikes_absorbed,total_distance_strikes_absorbed,total_clinch_strikes_absorbed
0,aalon cruz,0,0,65,84,62,1,2,9,7
1,aaron phillips,1,14,192,326,130,28,34,68,31
2,abdul razak alhassan,0,24,306,465,187,74,45,226,49
3,abdul-kerim edilov,0,0,1,7,1,0,0,1,0
4,abel trujillo,2,34,238,349,153,41,44,176,35
5,abu azaitar,0,3,160,253,136,12,12,95,18
6,abubakar nurmagomedov,1,1,83,215,52,26,5,62,15
7,abus magomedov,0,0,0,0,0,0,0,0,0
8,adam fugitt,0,0,93,100,80,8,5,74,12
9,adam milstead,0,10,158,335,104,25,29,107,14
10,adam wieczorek,0,7,69,156,33,23,13,32,11
11,adam yandiev,1,3,35,55,33,1,1,3,2
12,adrian yanez,0,0,249,253,162,59,28,243,1
13,adriano martins,0,1,108,110,35,39,34,104,2
14,aiemann zahabi,0,5,203,217,108,41,54,190,7
15,ailin perez,1,2,15,47,9,3,3,5,3
16,aj dobson,0,6,198,301,101,44,53,135,16
17,aj fletcher,0,5,175,310,122,36,17,121,14
18,al iaquinta,2,14,863,984,639,106,118,740,12
19,alan baudot,0,6,150,252,103,21,26,105,12
20,alan jouban,1,7,441,503,327,67,47,362,53
21,alan patrick,0,9,338,581,214,93,31,179,60
22,alatengheili,0,3,347,417,233,78,36,302,22
23,albert duraev,0,1,109,128,63,33,13,97,6
24,albert morales,1,5,294,461,217,39,38,226,10
25,albert tumenov,2,9,248,300,123,62,63,202,19
26,alberto mina,0,4,150,192,110,12,28,118,10
27,alberto uda,1,2,37,84,31,6,0,14,10
28,alejandro perez,1,9,442,474,214,119,109,414,13
29,aleksa camur,0,5,153,217,128,15,10,109,25
30,aleksandar rakic,0,2,209,362,93,46,70,158,40
31,aleksandra albu,1,4,220,315,99,80,41,107,100
32,aleksei kunchenko,0,5,170,203,73,37,60,153,5
33,aleksei oleinik,0,15,440,670,347,67,26,248,85
34,alen amedovski,1,5,78,146,64,8,6,33,1
35,alessandro costa,0,1,37,62,23,10,4,23,0
36,alessio di chirico,1,4,389,580,196,110,83,335,53
37,alex caceres,5,43,922,1296,532,166,224,772,65
38,alex chambers,3,7,232,484,132,66,34,120,80
39,alex da silva,1,3,134,254,104,19,11,106,11
40,alex garcia,0,7,355,601,216,78,61,266,39
41,alex gorgees,0,5,34,103,22,9,3,20,3
42,alex morono,0,13,811,929,404,292,115,728,51
43,alex nicholson,1,5,132,200,92,26,14,89,16
44,alex oliveira,5,17,537,876,328,90,119,303,108
45,alex pereira,0,5,204,258,110,49,45,184,12
46,alex perez,2,2,172,260,125,33,14,128,11
47,alex reyes,0,0,11,11,10,0,1,4,6
48,alex ricci,0,5,50,66,30,12,8,38,11
49,alex white,1,11,352,470,223,66,63,240,65
50,alexa grasso,1,21,636,933,453,127,56,534,67
51,alexander gustafsson,3,8,659,860,398,102,159,496,101
52,alexander hernandez,1,7,443,515,291,89,63,351,60
53,alexander munoz,0,0,194,198,167,23,4,191,3
54,alexander volkanovski,0,12,771,903,479,186,106,685,77
55,alexander volkov,1,21,572,712,326,122,124,427,35
56,alexander yakovlev,2,10,239,495,151,43,45,140,30
57,alexandr romanov,0,4,109,228,60,23,26,82,18
58,alexandre pantoja,0,21,407,524,317,47,43,339,36
59,alexis davis,1,16,746,1154,550,115,81,621,60
60,ali alqaisi,0,2,59,106,41,10,8,49,7
61,ali bagautinov,0,7,351,536,188,88,75,193,131
62,aliaskhab khizriev,0,0,31,43,28,3,0,30,1
63,alistair overeem,0,7,589,814,404,126,59,357,155
64,aljamain sterling,0,20,480,818,234,126,120,376,71
65,allan nascimento,0,4,29,91,23,5,1,14,1
66,allan zuniga,0,8,27,94,22,2,3,20,5
67,allen crowder,0,0,55,64,45,7,3,32,12
68,alonzo menifield,0,8,264,419,131,111,22,170,83
69,alvaro herrera mendoza,2,4,45,72,20,8,17,31,2
70,amanda cooper,3,5,157,218,106,33,18,107,9
71,amanda lemos,1,2,265,417,145,68,52,169,92
72,amanda nunes,1,6,458,769,313,70,75,361,42
73,amanda ribas,0,2,240,430,182,39,19,211,16
74,amir albazi,0,1,90,131,31,42,17,88,2
75,anderson dos santos,0,2,246,281,187,28,31,216,13
76,anderson silva,0,18,698,1301,423,88,187,456,72
77,andre ewell,1,9,615,813,321,133,161,471,61
78,andre fialho,0,2,253,279,146,70,37,218,15
79,andre fili,2,20,837,1146,481,160,196,705,37
80,andre muniz,1,4,96,164,55,26,15,75,4
81,andre petroski,0,1,101,140,55,24,22,94,1
82,andre soukhamthath,0,7,414,637,262,81,71,285,41
83,andrea lee,0,22,502,792,317,101,84,444,38
84,andreas michailidis,0,5,144,220,47,31,66,94,32
85,andrei arlovski,3,16,1218,1687,791,204,223,904,156
86,andrew holbrook,0,9,106,163,88,14,4,54,30
87,andrew sanchez,0,0,661,819,451,156,54,507,129
88,ange loosa,0,0,228,244,172,32,24,218,9
89,angela hill,2,23,1533,1915,916,371,246,1291,209
90,angela magana,1,5,183,331,116,50,17,118,18
91,anna elmose,0,2,87,126,69,16,2,63,14
92,anshul jubli,0,0,14,20,2,3,9,10,2
93,anthony birchak,2,8,115,156,90,20,5,69,19
94,anthony hamilton,2,3,190,313,126,46,18,92,79
