fighter,sub_attempts,sub_landed,reversals,control
aalon cruz,0,0,0,16
aaron phillips,1,0,0,366
abdul razak alhassan,0,0,1,644
abdul-kerim edilov,1,0,0,331
abel trujillo,1,1,0,493
abu azaitar,0,0,1,321
abubakar nurmagomedov,0,0,0,843
abus magomedov,0,0,0,2
adam fugitt,0,0,0,284
adam milstead,0,0,0,20
adam wieczorek,1,1,0,266
adam yandiev,0,0,0,0
adrian yanez,0,0,0,16
adriano martins,1,0,0,10
aiemann zahabi,0,0,1,160
ailin perez,0,0,0,93
aj dobson,0,0,0,76
aj fletcher,3,1,3,579
al iaquinta,0,0,0,43
alan baudot,0,0,0,165
alan jouban,2,0,1,254
alan patrick,2,0,0,2349
alatengheili,0,0,0,461
albert duraev,1,0,0,683
albert morales,0,0,1,732
albert tumenov,0,0,0,17
alberto mina,0,0,0,181
alberto uda,0,0,1,295
alejandro perez,2,1,0,487
aleksa camur,0,0,0,326
aleksandar rakic,1,0,0,2137
aleksandra albu,0,0,0,273
aleksei kunchenko,0,0,0,130
aleksei oleinik,14,6,4,2064
alen amedovski,0,0,1,13
alessandro costa,0,0,0,0
alessio di chirico,0,0,0,707
alex caceres,4,2,2,1021
alex chambers,0,0,0,463
alex da silva,1,0,1,1662
alex garcia,1,1,0,947
alex gorgees,0,0,0,0
alex morono,4,1,1,870
alex nicholson,1,0,0,1
alex oliveira,5,2,1,3081
alex pereira,0,0,0,115
alex perez,4,2,0,1270
alex reyes,0,0,0,18
alex ricci,0,0,0,88
alex white,3,0,1,444
alexa grasso,6,2,3,1024
alexander gustafsson,0,0,0,870
alexander hernandez,1,0,2,817
alexander munoz,0,0,0,195
alexander volkanovski,3,0,3,2862
alexander volkov,0,0,0,763
alexander yakovlev,1,1,0,631
alexandr romanov,4,3,1,1916
alexandre pantoja,10,4,3,1606
alexis davis,5,0,3,2527
ali alqaisi,2,0,0,475
ali bagautinov,0,0,1,676
aliaskhab khizriev,1,1,0,166
alistair overeem,3,0,0,1673
aljamain sterling,8,2,2,2566
allan nascimento,3,1,3,726
allan zuniga,1,0,0,0
allen crowder,1,0,0,142
alonzo menifield,1,1,1,1666
alvaro herrera mendoza,1,0,0,10
amanda cooper,6,0,1,1018
amanda lemos,3,2,1,715
amanda nunes,9,2,0,3290
amanda ribas,6,2,1,1942
amir albazi,2,2,0,869
anderson dos santos,2,1,0,436
anderson silva,0,0,0,36
andre ewell,1,0,0,277
andre fialho,0,0,0,70
andre fili,3,0,3,1237
andre muniz,7,3,0,1158
andre petroski,10,2,1,1539
andre soukhamthath,1,0,0,867
andrea lee,6,1,2,1610
andreas michailidis,0,0,1,406
andrei arlovski,0,0,1,884
andrew holbrook,3,0,0,173
andrew sanchez,0,0,0,2434
ange loosa,0,0,0,334
angela hill,2,0,2,1814
angela magana,0,0,0,0
anna elmose,0,0,0,248
anshul jubli,1,0,0,427
anthony birchak,1,0,1,167
anthony hamilton,0,0,0,505
anthony hernandez,8,3,1,1565
anthony ivy,0,0,0,350
anthony johnson,0,0,0,232
anthony pettis,8,2,10,1105
anthony rocco martin,9,2,4,2124
anthony smith,7,4,1,813
anton turkalj,0,0,1,280
anton zafir,0,0,0,81
antonina shevchenko,3,1,2,1337
antonio arroyo,0,0,1,355
antonio braga neto,0,0,0,194
antonio carlos junior,5,4,2,3226
antonio silva,0,0,0,20
aoriqileng,0,0,0,293
ariane carnelossi,1,1,3,618
ariane lipski,2,1,1,1108
ariel beck,0,0,0,9
arjan bhullar,0,0,0,1298
arman tsarukyan,0,0,0,2315
armen petrosyan,0,0,1,79
arnold allen,2,1,0,1164
artem lobov,0,0,0,414
ashkan mokhtarian,0,0,0,151
ashlee evans-smith,0,0,0,614
ashley yoder,6,0,5,2603
askar askarov,2,0,2,1409
askar mozharov,0,0,0,0
aspen ladd,3,0,1,1608
augusto mendes,0,0,1,325
augusto montano,0,0,0,0
augusto sakai,0,0,0,1028
austin arnett,0,0,0,426
austin hubbard,0,0,2,928
austin lingo,0,0,0,404
austin springer,0,0,0,3
azamat murzakanov,0,0,0,275
azunna anyanwu,0,0,0,0
barb honchak,2,0,0,21
bartosz fabinski,0,0,0,943
batgerel danaa,0,0,0,45
bea malecki,2,1,0,273
bec rawlings,1,0,0,563
belal muhammad,3,1,0,3433
ben askren,1,1,1,233
ben nguyen,2,1,2,222
ben rothwell,3,2,0,911
ben saunders,4,0,0,132
ben sosoli,0,0,0,0
beneil dariush,7,2,1,3330
benito lopez,1,0,0,112
benoit saint denis,2,1,0,656
bethe correia,0,0,0,620
bevon lewis,0,0,0,948
bharat kandare,0,0,0,0
bibulatov magomed,0,0,0,600
bill algeo,1,1,3,1113
billy quarantillo,8,1,1,1730
bj penn,0,0,0,237
blagoy ivanov,1,0,0,661
blake bilder,0,0,0,103
blood diamond,0,0,0,71
bo nickal,2,1,0,150
bobby green,3,0,2,1723
bobby moffett,3,0,1,459
bobby nash,2,0,0,402
bojan mihajlovic,0,0,0,66
bojan velickovic,3,0,3,462
boston salmon,0,0,0,43
brad katona,0,0,0,930
brad pickett,0,0,1,452
brad riddell,0,0,1,563
brad scott,1,0,0,191
brad tavares,0,0,1,743
brady hiestand,1,0,1,1014
brandon davis,1,1,0,472
brandon jenkins,0,0,1,14
brandon moreno,8,3,3,2754
brandon royval,7,3,2,346
brandon thatch,2,0,0,30
brendan allen,10,5,9,1622
brendan o'reilly,1,0,2,267
brett johns,6,2,1,2709
brian camozzi,1,0,0,30
brian kelleher,6,3,2,2015
brian ortega,8,3,1,539
brianna fortino,0,0,0,555
brock lesnar,0,0,0,487
brogan walker,0,0,1,76
brok weaver,1,0,1,168
bruna brasil,0,0,0,79
brunno ferreira,0,0,0,1
bruno silva,1,1,0,1256
bruno souza,0,0,0,57
bryan barberena,4,1,2,859
bryan battle,1,1,0,284
bryan caraway,0,0,0,711
bryce mitchell,10,1,1,2726
cain velasquez,0,0,0,158
caio borralho,2,0,4,1552
caio magalhaes,1,0,0,167
callan potter,0,0,1,508
calvin kattar,1,0,1,356
cameron else,0,0,0,16
cameron saaiman,0,0,6,636
cameron vancamp,0,0,0,0
carl deaton,0,0,0,0
carla esparza,3,0,5,3217
carlo pedersoli jr.,0,0,0,105
carlos candelario,1,0,3,307
carlos condit,2,0,3,537
carlos felipe,0,0,0,213
carlos hernandez,0,0,0,82
carlos huachin,0,0,0,0
carlos mota,1,0,1,11
carlos ulberg,0,0,0,89
carls john de tomas,0,0,1,132
carlston harris,1,1,0,695
carlton minus,0,0,0,0
casey kenney,2,1,4,857
casey o'neill,3,1,0,1129
cat zingano,0,0,2,1093
cb dollaway,4,0,1,668
cesar arzamendia,1,0,0,3
