fighter,takedowns_landed,takedowns_attempts,ground_strikes_landed,ground_strikes_attempts
aalon cruz,0,3,0,0
aaron phillips,3,5,0,0
abdul razak alhassan,5,13,24,38
abdul-kerim edilov,2,2,62,91
abel trujillo,5,16,6,10
abu azaitar,1,4,13,16
abubakar nurmagomedov,3,10,1,2
abus magomedov,0,0,2,2
adam fugitt,5,15,6,11
adam milstead,0,0,4,4
adam wieczorek,1,3,7,11
adam yandiev,0,0,0,0
adrian yanez,0,0,11,18
adriano martins,0,0,0,0
aiemann zahabi,1,6,5,7
ailin perez,1,3,2,3
aj dobson,3,3,3,3
aj fletcher,4,10,10,17
al iaquinta,0,16,3,4
alan baudot,0,0,20,24
alan jouban,3,8,29,46
alan patrick,20,49,40,58
alatengheili,9,23,10,13
albert duraev,5,21,41,70
albert morales,3,8,19,26
albert tumenov,0,2,0,1
alberto mina,3,7,9,20
alberto uda,2,4,4,6
alejandro perez,4,19,62,88
aleksa camur,2,8,1,1
aleksandar rakic,5,20,115,150
aleksandra albu,6,11,17,22
aleksei kunchenko,1,3,10,14
aleksei oleinik,13,26,26,37
alen amedovski,0,0,3,5
alessandro costa,0,0,0,0
alessio di chirico,11,28,16,31
alex caceres,10,15,40,57
alex chambers,4,7,14,14
alex da silva,7,16,18,23
alex garcia,13,32,15,27
alex gorgees,0,0,0,0
alex morono,4,20,53,93
alex nicholson,0,0,3,3
alex oliveira,25,61,109,155
alex pereira,1,1,2,4
alex perez,11,25,46,61
alex reyes,0,0,0,0
alex ricci,0,2,0,1
alex white,6,22,18,27
alexa grasso,4,9,25,29
alexander gustafsson,6,11,55,68
alexander hernandez,9,28,29,41
alexander munoz,5,17,0,0
alexander volkanovski,23,67,221,335
alexander volkov,7,10,55,69
alexander yakovlev,8,15,18,23
alexandr romanov,18,34,134,252
alexandre pantoja,11,27,38,48
alexis davis,8,16,80,105
ali alqaisi,7,24,1,3
ali bagautinov,7,14,55,68
aliaskhab khizriev,2,3,8,8
alistair overeem,8,21,162,192
aljamain sterling,17,93,152,194
allan nascimento,4,9,18,33
allan zuniga,0,0,1,1
allen crowder,1,3,3,3
alonzo menifield,4,11,52,61
alvaro herrera mendoza,0,0,1,1
amanda cooper,5,13,55,66
amanda lemos,5,9,40,61
amanda nunes,28,46,174,280
amanda ribas,13,25,52,75
amir albazi,6,12,27,39
anderson dos santos,3,21,7,13
anderson silva,0,0,7,9
andre ewell,3,4,1,4
andre fialho,0,0,5,11
andre fili,23,45,42,72
andre muniz,11,28,7,9
andre petroski,16,28,66,88
